population,n_responders,n_non_responders,responder_median_pct,non_responder_median_pct,median_diff_pct,higher_in,mann_whitney_u,p_value,significant
cd4_t_cell,993,975,30.221,29.658,0.563,responders,515277.5,0.01334,True
b_cell,993,975,9.432,9.788,-0.356,non_responders,459968.0,0.055672,False
nk_cell,993,975,14.509,14.799,-0.29,non_responders,464546.5,0.12106,False
monocyte,993,975,19.61,19.942,-0.332,non_responders,466509.0,0.163126,False
cd8_t_cell,993,975,24.728,24.603,0.125,responders,478175.5,0.639058,False
